name,slug,description,productSKUs,isPublished,seoTitle,seoDescription,backgroundImageUrl,backgroundImageAlt
New Arrivals,new-arrivals,The latest additions to our curated pet care collection. Fresh finds for dogs and cats.,CJJJCWGY02714;CJGY1035039;CJQC1084311;CJGY1281703;CJMY1152072;CJJJCWGY02561;CJJT1705040;CJHS1620474;CJYD2332008;CJJT1482251;CJJJCWMY00030;CJGY1616904;CJJT1508437;CJHS1704134;CJGD1000339;CJMY1547493;CJGY1743101;CJYD1890032;CJGX1318150;CJJJCWGY01607,Yes,New Arrivals | Pawzen,Discover the newest pet products in our collection. Fresh arrivals for dogs and cats.,https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,New Arrivals - Pawzen Pet Care
Best Sellers,best-sellers,"Our most popular products, loved by pet parents worldwide. Proven favorites.",CJJJCWGY02714;CJGY1035039;CJQC1084311;CJGY1281703;CJMY1152072;CJJJCWGY02561;CJJT1705040;CJHS1620474;CJYD2332008;CJJT1482251;CJJJCWMY00030;CJGY1616904;CJJT1508437;CJHS1704134;CJGD1000339;CJMY1547493;CJGY1743101;CJGX1318150;CJGY1765347;CJJJCWGY00518,Yes,Best Sellers | Pawzen,Shop our best-selling pet products. Proven favorites loved by thousands of pet parents.,https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,Best Sellers - Pawzen Pet Care
Under $20,under-20,Premium pet care that won't break the bank. Quality products under $20.,CJQC1084311;CJGY1281703;CJMY1152072;CJJJCWGY02561;CJJT1705040;CJHS1620474;CJYD2332008;CJGY1616904;CJJT1508437;CJHS1704134;CJGD1000339;CJGY1743101;CJYD1890032;CJGX1318150;CJJJCWGY01607;CJGY1765347;CJGY1204967;CJJJCWMY01163;CJJJCWGY00518;CJGY1750257;CJGY1221261;CJJT1403966;CJJJCWGY00571;CJMY1838641;CJGY1115537;CJGD1350732;CJGY1748465;CJGY1298399;CJJJCWGY00462;CJJJCWGY00495,Yes,Under $20 | Pawzen,Quality pet products under $20. Affordable essentials without compromising on quality.,https://cf.cjdropshipping.com/1618642315250.jpg,Under $20 - Pawzen Pet Care
Premium Collection,premium-collection,"Our finest selection. Premium materials, thoughtful design, elevated pet care.",CJGY1035039;CJJT1482251;CJJJCWMY00030;CJMY1547493;CJGY1942967;CJMY1337322;CJGY1905630;CJJJCWMY01411;CJJJCWGY01138;CJGY1675701;CJJJCWGY03237;CJJJCWGY02426;CJJT1430071;CJGY1263034;CJGY2060811;CJPH2274498;CJJT1334026;CJGY2034731;CJCJ1653782;CJMY1231939;CJCC1285699;CJYDQTLY00217;CJMY2080923;CJJT1436076;CJJJCWGY04219,Yes,Premium Collection | Pawzen,"Our finest pet products. Premium materials, expert design, and elevated quality.",https://cf.cjdropshipping.com/1615203197971.jpg,Premium Collection - Pawzen Pet Care
Travel Essentials,travel-essentials,"Everything you need for adventures with your pet. Carriers, portable bowls, and travel gear.",CJJJCWGY02714;CJJT1705040;CJHS1620474;CJHS1704134;CJGY1743101;CJJJCWMY01163;CJGY1750257;CJGY1221261;CJMY1838641;CJJJCWGY02426;CJJJCWGY00168;CJGY2006030,Yes,Pet Travel Essentials | Pawzen,"Carriers, car seats, portable water bottles, and outdoor gear for traveling with pets.",https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,Travel Essentials - Pawzen Pet Care
Calm & Comfort,calm-comfort,"Soothing beds, anxiety relief, and comfort products for stressed or anxious pets.",CJGY1616904;CJYD1890032;CJGY1765347;CJMY1337322;CJGY1750257;CJGY1905630;CJGY1115537;CJMY1569615;CJGD1236315;CJGX1718415;CJJJCWGY01342;CJGD2086674;CJYD1867268;CJJJJTYS01892;CJMY2080923,Yes,Calm & Comfort | Pawzen,"Calming beds, anxiety aids, and comfort products to help your pet relax and rest.",https://cf.cjdropshipping.com/22b5cb96-3439-4460-8131-5ca064381c82.jpg,Calm & Comfort - Pawzen Pet Care
Outdoor Adventures,outdoor-adventures,"Gear up for the great outdoors. Harnesses, portable water, and rugged accessories.",CJJJCWGY02714;CJGY1035039;CJJJCWGY02561;CJJT1705040;CJHS1620474;CJJT1508437;CJHS1704134;CJGY1743101;CJYD1890032;CJGX1318150;CJGY1765347;CJJJCWMY01163;CJGY1750257;CJGY1221261;CJMY1838641,Yes,Outdoor Adventures | Pawzen,"Outdoor gear for active pets. Harnesses, backpacks, portable bowls, and adventure accessories.",https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,Outdoor Adventures - Pawzen Pet Care
Grooming Spa,grooming-spa,Professional grooming tools for a spa-worthy experience at home.,CJGY1281703;CJMY1547493;CJGY1765347;CJJJCWGY00518;CJGY1675701;CJJJCWGY00462;CJJT1430071;CJGY1263034;CJJT1334026;CJJJCWMY00001;CJJJCWGY01342;CJYD1867268;CJYD2046032;CJJJJTYS01892;CJJJCWGY01012;CJJT1436076,Yes,Grooming Spa | Pawzen,"Professional pet grooming tools. Brushes, nail care, shampoo, and spa essentials.",https://cf.cjdropshipping.com/634d43a5-5040-40d6-a1ad-b31ca170060e.png,Grooming Spa - Pawzen Pet Care
Interactive Play,interactive-play,"Toys that engage, challenge, and delight. Puzzles, snuffle mats, and interactive feeders.",CJJJCWGY01607;CJMY1337322;CJJT1403966;CJGY1115537;CJGY1298399;CJMY1123150;CJYD2294948;CJGX1639057;CJMY1647505;CJJJCWMY00245;CJGY1680666;CJPB2203192;CJMY2098496;CJGY2153500;CJGY2117464;CJYD2718713,Yes,Interactive Play Toys | Pawzen,"Interactive puzzle toys, snuffle mats, and enrichment games for dogs and cats.",https://cf.cjdropshipping.com/722e8bb7-60e4-4a4e-b05c-d01f443fa442.png,Interactive Play - Pawzen Pet Care
Cat Paradise,cat-paradise,"A curated world for your feline friend. Trees, scratchers, toys, and cozy napping spots.",CJJJCWMY00030;CJJJCWMY00256;CJJJCWMY00449;CJJJCWMY01159;CJJT1802490;CJJJCWMY00664;CJJJCWMY01089;CJJJCWGY04219;CJJJCWMY00733;CJJJCWMY00934;CJJT1792515;CJJJCWMY00201;CJYD2032220,Yes,Cat Paradise | Pawzen,"Cat trees, scratching posts, interactive toys, beds, and cat-specific essentials.",https://cf.cjdropshipping.com/f8dc5a9b-909c-4389-adc4-564fbd004aa6.jpg,Cat Paradise - Pawzen Pet Care
Walk & Train,walk-train,"Collars, harnesses, leashes, and training tools for the perfect walk.",CJQC1084311;CJJJCWGY02561;CJGX1318150;CJPH2274498;CJJJCWGX00096;CJCC1285699;CJHD1098901;CJJJCWGY00630;CJGX1520671;CJGX1495159;CJJJCWGX00105;CJGY1680710;CJJJCWGX00311;CJGX1185638;CJGY1742809;CJMY1293954,Yes,Walk & Train | Pawzen,"No-pull harnesses, reflective leashes, training collars, and walking accessories.",https://cf.cjdropshipping.com/1618642315250.jpg,Walk & Train - Pawzen Pet Care
Seasonal Sale,sale,Limited-time deals on select pet essentials. Grab them before they're gone!,CJQC1084311;CJGY1281703;CJMY1152072;CJJJCWGY02561;CJHS1620474;CJYD2332008;CJHS1704134;CJGD1000339;CJGX1318150;CJJJCWGY01607;CJGY1765347;CJJJCWGY00518;CJJJCWGY00571;CJMY1838641;CJGY1115537,Yes,Sale | Pawzen,Shop sale items. Limited-time deals on quality pet products.,https://cf.cjdropshipping.com/1618642315250.jpg,Seasonal Sale - Pawzen Pet Care
