"post_number","scheduled_date","product_name","category","caption","image_url","additional_images","product_link","price","on_sale","post_type"
"1","2026-03-27 10:00","Dog Snuffle Mat — Nosework Training","Pet Toy Set","🔥 SALE ALERT! Dog Snuffle Mat — Nosework Training — was $18.13, now just $14.87!

Premium quality at an affordable price — your pet will love it!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/snuffle-mat-for-small-large-dogs-nosework-feeding-mat-easy-to-fill-and-machine-w
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #AdoptDontShop #PetLover #Instadog #DogMom #DogDad #PetParent #PetsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112323644-xxj1_30c48e99_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112324948-c06b_e1694a0e_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112325520-p7rv_29c0be18_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112326589-cg9k_f7d89691_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/snuffle-mat-for-small-large-dogs-nosework-feeding-mat-easy-to-fill-and-machine-w","$14.87","YES","SALE"
"2","2026-03-27 15:00","Interactive Cat Puzzle & Slow Feeder","Pet Toy Set","Treat your fur baby without breaking the bank! 🐾❤️

Interactive Cat Puzzle & Slow Feeder — $7.12 (save 20%!)

Premium quality at an affordable price — your pet will love it!

🛒 Shop: https://pawzenpets.shop/usd/products/interactive-cat-toy-puzzle-toy-pet-slow-feeder-for-bored-indoor-cat-small-medium
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #DogDad #DogsOfInstagram #Instacat #CatsOfInstagram #PetLover #Instadog #FurBaby","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181962080-5e6c_bd6e778d_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0ODY=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0ODc=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0ODg=/1024/","https://pawzenpets.shop/usd/products/interactive-cat-toy-puzzle-toy-pet-slow-feeder-for-bored-indoor-cat-small-medium","$7.12","YES","SALE"
"3","2026-03-28 10:00","Waterproof Cat Litter Mat","Pet Groomings","Your pet deserves the best. Introducing the Waterproof Cat Litter Mat.

Premium quality at an affordable price — your pet will love it!

💰 $1.65

🛒 Shop: https://pawzenpets.shop/usd/products/cat-litter-mat-pet-solid-color-waterproof-cat-litter-mat-easy-clean-scatter-cont
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #PetParent #Instacat #DogDad #CatsOfInstagram #AdoptDontShop #PetLover #CatMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112479930-ikgb_a1bfdd41_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112481083-xdr8_d2cecb4a_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112482618-oqlg_a3684fc3_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112483858-nuwh_a20929b4_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/cat-litter-mat-pet-solid-color-waterproof-cat-litter-mat-easy-clean-scatter-cont","$1.65","NO","STANDARD"
"4","2026-03-28 15:00","3-in-1 Pet Water Bottle & Bag Dispenser","Pet Drinking Tools","Making life better, one paw at a time. 💧🐾

3-in-1 Pet Water Bottle & Bag Dispenser — because pets deserve the best.

💰 $9.78

🛒 Shop: https://pawzenpets.shop/usd/products/pet-water-bottle-feeder-bowl-garbage-bag-storage-portable-pet-outdoor-travel-3-i
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHydration #WaterFountain #DogWater #HealthyPet #PetsOfInstagram #DogDad #DogMom #CatMom #CatsOfInstagram #PetParent #PetLover #FurBaby","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182005196-x4hu_59dc5844_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182006047-ysfq_1a92932e_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182006828-ql3v_7acac5d0_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182007873-wu6l_3124401a_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-water-bottle-feeder-bowl-garbage-bag-storage-portable-pet-outdoor-travel-3-i","$9.78","NO","STANDARD"
"5","2026-03-29 10:00","Dog Life Jacket — Shark Swim Vest","Pet Clothings","Treat your fur baby without breaking the bank! 🐾❤️

Dog Life Jacket — Shark Swim Vest — $9.95 (save 18%!)

Premium quality at an affordable price — your pet will love it!

🛒 Shop: https://pawzenpets.shop/usd/products/swim-pet-dog-life-jacket-vest-clothes-life-vest-collar-harness-pets-swimming-sum
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #CatMom #DogMom #Instacat #PetParent #DogDad #AdoptDontShop #CatDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180628966-ty74_3717b164_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4NjY=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4Njc=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4Njg=/1024/","https://pawzenpets.shop/usd/products/swim-pet-dog-life-jacket-vest-clothes-life-vest-collar-harness-pets-swimming-sum","$9.95","YES","SALE"
"6","2026-03-29 15:00","Pet Football Pattern Fish Tail Life Jacket","Pet Clothings","🔥 SALE ALERT! Pet Football Pattern Fish Tail Life Jacket — was $11.10, now just $9.43!

Premium quality at an affordable price — your pet will love it!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/pet-football-pattern-fish-tail-life-jacket
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #Instadog #PetsOfInstagram #Instacat #AdoptDontShop #FurBaby #PetLover #DogsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180793801-ah33_204af1a1_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE5MjM=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180796157-d0zf_1fcdf2e5_thumbnail_1024.jpg | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE5MjU=/1024/","https://pawzenpets.shop/usd/products/pet-football-pattern-fish-tail-life-jacket","$9.43","YES","SALE"
"7","2026-03-30 10:00","Dog Snuffle & Training Mat","Pet Training and Educational Toys","🐾❤️ Dog Snuffle & Training Mat

Premium quality at an affordable price — your pet will love it!

💰 $7.82

🛒 Shop: https://pawzenpets.shop/usd/products/dog-sniffing-mat-dog-puzzle-toy-pet-snack-feeding-mat-boring-interactive-game-tr
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #FurBaby #Instadog #DogMom #CatDad #PetsOfInstagram #PetParent #CatMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112203635-hhvz_1c700661_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112204874-tesh_45f428b0_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112206135-ln50_3457722b_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112208084-m9f5_257d2d93_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/dog-sniffing-mat-dog-puzzle-toy-pet-snack-feeding-mat-boring-interactive-game-tr","$7.82","NO","STANDARD"
"8","2026-03-30 15:00","Dog Pooper Scooper with Bag Dispenser","Pet Outdoor Supplies","Making life better, one paw at a time. 🐾❤️

Dog Pooper Scooper with Bag Dispenser — because pets deserve the best.

💰 $0.33

🛒 Shop: https://pawzenpets.shop/usd/products/portable-lightweight-dog-pooper-scooper-with-built-in-poop-bag-dispenser-eight-c
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #DogDad #AdoptDontShop #PetLover #Instacat #CatDad #CatsOfInstagram #PetParent","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182072814-iyzp_3e1b7f21_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182073247-vt8t_0fa2ee6a_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182074265-ae40_d92538c8_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182075492-qu6d_697d2cc7_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/portable-lightweight-dog-pooper-scooper-with-built-in-poop-bag-dispenser-eight-c","$0.33","NO","STANDARD"
"9","2026-03-31 10:00","Ultrasonic Dog Bark Deterrent — Rechargeable","Pet Outdoor Supplies","Making life better, one paw at a time. 🐾❤️

Ultrasonic Dog Bark Deterrent — Rechargeable — because pets deserve the best.

💰 $13.27

🛒 Shop: https://pawzenpets.shop/usd/products/pet-dog-repeller-ultrasonic-dog-training-device-rechargeable-anti-dog-bark-deter
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #DogsOfInstagram #AdoptDontShop #PetLover #CatDad #CatsOfInstagram #Instacat #FurBaby","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181635907-03yl_e7f642bb_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181636324-ywmg_b6f43bad_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181637549-wc2c_96a2af49_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181638492-egw4_421578ee_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-dog-repeller-ultrasonic-dog-training-device-rechargeable-anti-dog-bark-deter","$13.27","NO","STANDARD"
"10","2026-03-31 15:00","Summer Dog Cooling Vest — Breathable","Pet Apparels","Treat your fur baby without breaking the bank! 🐾❤️

Summer Dog Cooling Vest — Breathable — $8.31 (save 15%!)

Premium quality at an affordable price — your pet will love it!

🛒 Shop: https://pawzenpets.shop/usd/products/summer-pet-dog-cooling-vest-heat-resistant-cool-dogs-clothes-breathable-sun-proo
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #Instacat #CatsOfInstagram #CatMom #FurBaby #Instadog #PetsOfInstagram #AdoptDontShop","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180537332-h5ya_a3ff138c_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180538247-twh0_3a602787_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180539303-lixx_b102d8ea_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180539913-d75g_3a1b6194_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/summer-pet-dog-cooling-vest-heat-resistant-cool-dogs-clothes-breathable-sun-proo","$8.31","YES","SALE"
"11","2026-04-01 10:00","Pet Water Dispenser","Pet Drinking Tools","Every pet deserves a little luxury. 💧🐾

The Pet Water Dispenser is designed with love for your furry friend.

💰 $2.40

🛒 Shop: https://pawzenpets.shop/usd/products/pet-water-dispenser
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHydration #WaterFountain #DogWater #HealthyPet #PetsOfInstagram #PetLover #CatDad #DogMom #AdoptDontShop #CatMom #DogDad #FurBaby","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112296999-0m77_aa220e70_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112299056-tv8b_e16221cb_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112300818-tya2_f4e67249_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112302517-2tu6_507bec72_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-water-dispenser","$2.40","NO","STANDARD"
"12","2026-04-01 15:00","Cat Treat Dispenser & Spring Toy","Pet Toys","Every pet deserves a little luxury. 🐾❤️

The Cat Treat Dispenser & Spring Toy is designed with love for your furry friend.

💰 $7.18

🛒 Shop: https://pawzenpets.shop/usd/products/cat-treats-dispenser-cat-treat-dispenser-toy-catnip-cat-toy-cat-nips-spring-toy-
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #AdoptDontShop #FurBaby #DogMom #CatMom #PetsOfInstagram #CatsOfInstagram #Instadog","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181819002-0elh_e82e9db7_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181819801-pibr_d8f34c10_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181820557-xzj3_5e6202f0_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181820934-i5d5_bfdf3890_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/cat-treats-dispenser-cat-treat-dispenser-toy-catnip-cat-toy-cat-nips-spring-toy-","$7.18","NO","STANDARD"
"13","2026-04-02 10:00","Cat Scratching Post — Wear Resistant","Pet Furnitures","Struggling with finding quality pet products? We've got you covered! 🐾❤️

Cat Scratching Post — Wear Resistant — Premium quality at an affordable price — your pet will love it!

💰 $9.65

🛒 Shop: https://pawzenpets.shop/usd/products/wear-resistant-cat-scratching-post
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #CatMom #CatDad #DogsOfInstagram #PetParent #Instacat #Instadog #PetLover","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180265756-9cnn_727d439a_thumbnail_1024.png","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180266425-81wc_1e70cb07_thumbnail_1024.png | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180267089-doqf_5949db8d_thumbnail_1024.png | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180268216-67p0_329ae00c_thumbnail_1024.png","https://pawzenpets.shop/usd/products/wear-resistant-cat-scratching-post","$9.65","NO","STANDARD"
"14","2026-04-02 15:00","Fluffy Donut Dog & Cat Bed — Plush Washable","Pet Toy Set","Your pet deserves the best. Introducing the Fluffy Donut Dog & Cat Bed — Plush Washable.

Premium quality at an affordable price — your pet will love it!

💰 $4.28

🛒 Shop: https://pawzenpets.shop/usd/products/fluffy-donut-dog-bed-warm-soft-long-plush-pet-cushion-dog-house-cat-bed-washable
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #PetsOfInstagram #Instacat #CatMom #AdoptDontShop #PetLover #DogDad #CatDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773111831227-v2o8_27e41fee_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773111831540-p64o_e4679689_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111833110-4yxo_f6afb8a9_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111834415-deqm_d5f8c82c_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/fluffy-donut-dog-bed-warm-soft-long-plush-pet-cushion-dog-house-cat-bed-washable","$4.28","NO","STANDARD"
"15","2026-04-03 10:00","Pet Supplies Clothing Dog Dress Tuxedo","Pet Clothings","Does your pet need a quality supplies? 🐾❤️

The Pet Supplies Clothing Dog Dress Tuxedo is the perfect solution!

Premium quality at an affordable price — your pet will love it!

💰 $10.53

🛒 Shop: https://pawzenpets.shop/usd/products/pet-supplies-clothing-dog-dress-tuxedo
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #CatDad #CatMom #DogDad #AdoptDontShop #DogsOfInstagram #DogMom #PetsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180736527-rk0l_7e87b44f_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180737014-dyl2_e0620eb7_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180737517-pmas_a0b4f2ec_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180738541-ktnw_fc2eaf35_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-supplies-clothing-dog-dress-tuxedo","$10.53","NO","STANDARD"
"16","2026-04-03 15:00","Dog Sofa Bed — Large Cushion","Pet Mats","Treat your fur baby without breaking the bank! 🐾❤️

Dog Sofa Bed — Large Cushion — $12.76 (save 12%!)

Premium quality at an affordable price — your pet will love it!

🛒 Shop: https://pawzenpets.shop/usd/products/pet-dog-sofa-bed-dog-beds-for-large-dogs-cushion-warm-cat-beds-mat-furniture-pro
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #PetLover #DogDad #DogsOfInstagram #PetsOfInstagram #DogMom #FurBaby #Instacat","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180446567-pneq_e522ad6f_thumbnail_1024_Dtdxs0x.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180448294-w13j_1c5595fa_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180448639-nbu0_0a312143_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180448885-hxwz_9d3f7376_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-dog-sofa-bed-dog-beds-for-large-dogs-cushion-warm-cat-beds-mat-furniture-pro","$12.76","YES","SALE"
"17","2026-04-04 10:00","Summer Cooling Pet Mat — Ice Silk","Pet Mats","Meet the Summer Cooling Pet Mat — Ice Silk! Premium quality at an affordable price — your pet will love it!

💰 $2.90

🛒 Shop: https://pawzenpets.shop/usd/products/pet-ice-mat-summer-pet-mat-dog-mat-cat-cooling-mat-pet-supplies-pet-cooling-supp
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #CatDad #Instadog #CatsOfInstagram #DogsOfInstagram #PetLover #AdoptDontShop #DogMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773111864640-rdo9_cd9a989d_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773111864812-5c8w_1731c19a_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111864985-we38_3e7f4683_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111865151-zkmy_a20d90b1_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-ice-mat-summer-pet-mat-dog-mat-cat-cooling-mat-pet-supplies-pet-cooling-supp","$2.90","NO","STANDARD"
